,NAME,percent_uninsured,time,Location,expanded_medicaid,highlight1,highlight2,highlight3,highlight4,highlight5,highlight6
158,Indiana,16.6,2012,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
159,Indiana,16.1,2013,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
160,Indiana,14.000000000000002,2014,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
161,Indiana,11.3,2015,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
162,Indiana,9.5,2016,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
163,Indiana,9.6,2017,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
164,Indiana,9.7,2018,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
165,Iowa,10.0,2008,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
166,Iowa,10.0,2009,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
167,Iowa,10.7,2010,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
168,Iowa,10.4,2011,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
169,Iowa,9.9,2012,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
170,Iowa,9.6,2013,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
171,Iowa,7.3,2014,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
172,Iowa,5.9,2015,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
173,Iowa,5.0,2016,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
174,Iowa,5.5,2017,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
175,Iowa,5.6,2018,Iowa,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
176,Kansas,12.8,2008,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
177,Kansas,14.6,2009,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
178,Kansas,15.8,2010,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
179,Kansas,14.400000000000002,2011,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
180,Kansas,14.400000000000002,2012,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
181,Kansas,14.099999999999998,2013,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
182,Kansas,11.7,2014,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
183,Kansas,10.5,2015,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
184,Kansas,9.9,2016,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
185,Kansas,10.1,2017,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
186,Kansas,10.1,2018,Kansas,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
187,Kentucky,15.0,2008,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
188,Kentucky,16.5,2009,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
189,Kentucky,17.5,2010,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
190,Kentucky,16.9,2011,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
191,Kentucky,16.2,2012,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
192,Kentucky,16.8,2013,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
193,Kentucky,9.9,2014,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
194,Kentucky,7.1,2015,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
195,Kentucky,6.0,2016,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
196,Kentucky,6.4,2017,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
197,Kentucky,6.7,2018,Kentucky,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
198,Louisiana,19.5,2008,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
199,Louisiana,20.0,2009,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
200,Louisiana,20.5,2010,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
201,Louisiana,20.1,2011,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
202,Louisiana,19.4,2012,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
203,Louisiana,19.1,2013,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
204,Louisiana,16.9,2014,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
205,Louisiana,13.8,2015,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
206,Louisiana,11.8,2016,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
207,Louisiana,9.6,2017,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
208,Louisiana,9.3,2018,Louisiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
209,Maine,12.1,2008,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
210,Maine,12.5,2009,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
211,Maine,12.2,2010,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
212,Maine,12.9,2011,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
213,Maine,12.4,2012,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
214,Maine,13.5,2013,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
215,Maine,12.4,2014,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
216,Maine,10.3,2015,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
217,Maine,10.1,2016,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
218,Maine,10.2,2017,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
219,Maine,10.2,2018,Maine,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
220,Maryland,12.3,2008,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
221,Maryland,12.9,2009,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
222,Maryland,12.7,2010,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
223,Maryland,12.0,2011,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
224,Maryland,11.8,2012,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
225,Maryland,11.7,2013,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
226,Maryland,8.9,2014,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
227,Maryland,7.400000000000001,2015,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
228,Maryland,7.000000000000001,2016,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
229,Maryland,7.000000000000001,2017,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
230,Maryland,6.9,2018,Maryland,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
231,Massachusetts,4.4,2008,Massachusetts,Yes,noHighlight,noHighlight,Highlight,noHighlight,Highlight,noHighlight
232,Massachusetts,4.9,2009,Massachusetts,Yes,noHighlight,noHighlight,Highlight,noHighlight,Highlight,noHighlight
233,Massachusetts,5.2,2010,Massachusetts,Yes,noHighlight,noHighlight,Highlight,noHighlight,Highlight,noHighlight
234,Massachusetts,4.9,2011,Massachusetts,Yes,noHighlight,noHighlight,Highlight,noHighlight,Highlight,noHighlight
235,Massachusetts,4.5,2012,Massachusetts,Yes,noHighlight,noHighlight,Highlight,noHighlight,Highlight,noHighlight
236,Massachusetts,4.3,2013,Massachusetts,Yes,noHighlight,noHighlight,Highlight,noHighlight,Highlight,noHighlight
